Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,S_P500,SOXX,ADR,TaiwanAll
2013/6/24,102.5,102.5,100,101,104.1,105.35,107.38,107.05,54091,35539,36208,-1.73,-1,-0.73,18.34%,23.00%,1588.19,459.72,17.41,7758.03
2013/6/25,101,103,101,101,103,104.6,106.83,107.06,33898,35983,37404,-1.91,-1.18,-0.73,16.99%,20.99%,1592.43,460.85,17.18,7663.23
2013/6/26,103,104,101.5,101.5,102.2,103.95,106.43,107.09,55865,42739,39274,-1.99,-1.34,-0.65,19.02%,20.33%,1573.09,451.55,16.93,7784.8
2013/6/27,103,105,103,104.5,102.3,103.95,106.1,107.15,46982,46136,37866,-1.85,-1.44,-0.41,35.75%,25.47%,1588.03,462.51,17.530001,7883.9
2013/6/28,106,111,105,111,103.8,104.45,106.15,107.32,74515,53070,41197,-1.31,-1.42,0.11,57.17%,36.04%,1603.26,464.93,17.639999,8062.21
2013/7/1,109,109.5,108,108,105.2,104.65,106.08,107.44,51935,52639,44089,-0.95,-1.32,0.37,62.36%,44.81%,1613.2,466.74,17.93,8036
2013/7/2,109,110,108.5,110,107,105,106.2,107.6,44982,54856,45420,-0.57,-1.17,0.61,71.87%,53.83%,1606.28,468.43,18.32,8015.86
2013/7/3,107,107,105.5,107,108.1,105.15,106.1,107.74,44740,52631,47685,-0.5,-1.04,0.54,69.13%,58.93%,1614.96,467.73,18.450001,7911.42
2013/7/4,106.5,107,106,107,108.6,105.45,105.98,107.9,24501,48135,47135,-0.42,-0.91,0.49,67.30%,61.72%,1614.08,468.18,18.5,7893.72
2013/7/5,107.5,109.5,107,109,108.2,106,106.05,108.08,28277,38887,45979,-0.21,-0.77,0.56,71.53%,64.99%,1615.41,469.8,18.120001,8001.82
2013/7/8,107,108,104.5,105,107.6,106.4,105.88,108.14,32771,35054,43847,-0.29,-0.68,0.39,59.97%,63.32%,1631.89,476.12,18.209999,7886.34
2013/7/9,104.5,106.5,103.5,106,106.8,106.9,105.75,108.23,35512,33160,44008,-0.35,-0.61,0.26,52.48%,59.70%,1640.46,466.5,17.6,7971.18
2013/7/10,104.5,107,104.5,106,106.6,107.35,105.65,108.34,22082,28629,40630,-0.37,-0.56,0.2,46.10%,55.17%,1652.32,471.41,17.84,8011.69
2013/7/11,107.5,109.5,107.5,109.5,107.1,107.85,105.9,108.49,56918,35112,41623,-0.13,-0.48,0.35,61.50%,57.28%,1652.62,476.7,17.84,8179.54
2013/7/12,109.5,110,108.5,110,107.3,107.75,106.1,108.66,31046,35666,37276,0.11,-0.36,0.47,74.33%,62.96%,1675.02,486.56,18.540001,8220.49
2013/7/15,108.5,109.5,108,109.5,108.2,107.9,106.28,108.82,33373,35786,35420,0.26,-0.23,0.49,80.33%,68.75%,1680.19,489.61,18.440001,8254.68
2013/7/16,108.5,109,107,108,108.6,107.7,106.35,108.84,35961,35876,34518,0.28,-0.13,0.41,76.63%,71.38%,1682.5,489.33,18.4,8260.11
2013/7/17,108,109,107,109,109.2,107.9,106.53,108.85,40122,39484,34056,0.34,-0.04,0.37,79.29%,74.01%,1676.26,491.06,18.43,8258.95
2013/7/18,107.5,108,105.5,105.5,108.4,107.75,106.6,108.84,53223,38745,36929,0.19,0.01,0.18,63.12%,70.38%,1680.91,491.58,18.450001,8194.88
2013/7/19,99.4,99.7,98.2,98.2,106.04,106.67,106.34,108.71,123330,57202,46434,-0.54,-0.1,-0.43,42.08%,60.95%,1689.37,487.22,16.809999,8062.03
