®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF,MACD9,OSC,K,D,RSIx6,RSIx12,BBand width,Band%EMA3,TaiwanAll
2016/11/9,85.9,86.3,79.7,80.5,83.52,86.12,84.67,79.52,11819,8938,9141,0.99,1.63,-0.64,32.01%,43.81%,32.74%,41.74%,15.45%,15.43%,8943.2
2016/11/10,83.5,86.8,83.1,86.2,84.46,85.73,84.96,79.86,10684,9019,8956,0.97,1.5,-0.53,40.69%,42.77%,54.38%,53.84%,14.75%,15.09%,9152.18
2016/11/11,84.1,84.5,81.3,82.2,84.12,84.99,85,80.08,12433,9919,9114,0.71,1.34,-0.63,34.84%,40.12%,42.79%,46.46%,14.53%,14.81%,8957.76
2016/11/14,83.6,86,82.5,85.3,83.98,84.43,85.12,80.38,15571,11317,10099,0.67,1.21,-0.54,46.27%,42.17%,52.25%,52.02%,14.35%,14.58%,8940.4
2016/11/15,85.9,85.9,82.5,83.4,83.52,83.87,85.16,80.65,14073,12916,10885,0.56,1.08,-0.52,48.22%,44.19%,46.58%,48.64%,14.19%,14.38%,8931.03
2016/11/16,85.1,86.9,85.1,86.5,84.72,84.12,85.35,80.94,16440,13840,11389,0.65,0.99,-0.34,63.63%,50.67%,55.94%,53.96%,13.98%,14.18%,8962.22
2016/11/17,86.4,88.1,85.6,88,85.08,84.77,85.59,81.26,11868,14077,11548,0.82,0.96,-0.14,75.35%,58.90%,60.01%,56.35%,13.97%,14.08%,8995.26
2016/11/18,88.8,88.8,87.4,87.5,86.14,85.13,85.89,81.58,8835,13357,11638,0.97,0.96,0.01,78.81%,65.53%,57.87%,55.31%,13.33%,13.70%,9008.79
2016/11/21,87.5,88,86.4,86.9,86.46,85.22,86.1,81.88,6213,11486,11402,1.01,0.97,0.04,78.91%,69.99%,55.05%,54.00%,12.91%,13.31%,9041.11
2016/11/22,87.5,87.9,86.9,87.3,87.24,85.38,86.11,82.16,7698,10211,11563,1.06,0.99,0.07,79.27%,73.09%,56.74%,54.78%,12.94%,13.12%,9133.39
