®É¶¡,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Vol,MA5,MA10,DIF12-26,MACD9,OSC,K,D,RSI 6,RSI 12,BBand width,Band%EMA3,TaiwnaAll
2017/10/3,33.1,33.5,32.55,33,31.58,29.92,30.99,33.91,388,492,384,-0.61,-1.1,0.49,85.09%,69.92%,75.10%,58.45%,31.94%,32.54%,10519.17
2017/10/5,33,35,33,34.75,32.51,30.53,31.1,33.91,706,535,438,-0.29,-0.94,0.65,89.15%,76.33%,82.62%,64.89%,33.30%,32.92%,10578.44
2017/10/6,35.5,35.5,34.85,35.2,33.53,31.22,31.18,33.91,758,639,493,0.03,-0.75,0.78,91.56%,81.41%,84.10%,66.35%,34.48%,33.70%,10449.68
2017/10/11,36.6,38.7,36.6,38.7,34.91,32.38,31.35,33.98,3105,1137,762,0.52,-0.49,1.01,94.37%,85.73%,91.14%,75.14%,38.57%,36.13%,10335.89
2017/10/12,39.05,42.55,39.05,42.55,36.84,33.84,31.73,34.14,2840,1559,1013,1.18,-0.16,1.34,96.25%,89.24%,94.41%,81.07%,48.27%,42.20%,10257.02
2017/10/13,43.7,46.8,42.8,46.8,39.6,35.59,32.38,34.32,2287,1939,1216,2.01,0.27,1.73,97.50%,91.99%,96.25%,85.30%,62.23%,52.21%,10326.68
2017/10/16,51.4,51.4,51.4,51.4,42.93,37.72,33.27,34.51,399,1878,1207,3.08,0.84,2.25,98.33%,94.10%,97.37%,88.36%,78.46%,65.34%,10296.45
2017/10/17,56.5,56.5,56.5,56.5,47.19,40.36,34.58,34.82,309,1788,1213,4.3,1.53,2.77,98.89%,95.70%,98.12%,90.71%,94.99%,80.16%,10329.94
2017/10/18,62.1,62.1,60.4,62.1,51.87,43.39,36.24,35.21,3258,1819,1478,5.61,2.34,3.27,99.26%,96.89%,98.63%,92.51%,110.94%,95.55%,10383.94
2017/10/19,62.2,68.3,60.3,68.3,57.02,46.93,38.19,35.72,2866,1824,1692,6.95,3.26,3.68,99.51%,97.76%,99.00%,93.94%,126.61%,111.08%,10465.16
2017/10/20,64.7,68.2,64.7,65.5,60.76,50.18,40.05,36.22,679,1502,1721,7.89,4.19,3.7,96.88%,97.47%,86.52%,85.89%,132.18%,121.63%,10469.35
2017/10/23,72,72,70,72,64.88,53.91,42.22,36.82,1187,1660,1769,8.97,5.15,3.83,97.92%,97.62%,90.02%,88.41%,138.90%,130.26%,10518.27
2017/10/24,72,77,72,72,67.98,57.59,44.4,37.46,892,1776,1782,9.86,6.09,3.77,94.22%,96.49%,90.02%,88.41%,140.95%,135.60%,10532.81
2017/10/25,74.4,74.4,68,68,69.16,60.52,46.45,38.04,983,1321,1570,10.16,6.9,3.25,87.38%,93.45%,73.18%,78.20%,137.11%,136.36%,10641.19
2017/10/26,70.5,74.8,69.9,74.8,70.46,63.74,48.79,38.68,879,924,1374,10.59,7.64,2.95,88.72%,91.87%,80.59%,82.04%,134.98%,135.67%,10711.44
2017/10/27,78.8,82.2,76,78.7,73.1,66.93,51.26,39.41,1656,1119,1311,11.23,8.36,2.87,87.94%,90.56%,83.69%,83.83%,133.05%,134.36%,10724.09
2017/10/30,81.9,82.2,79.8,81,74.9,69.89,53.81,40.16,774,1037,1348,11.77,9.04,2.73,90.13%,90.42%,85.35%,84.80%,130.06%,132.21%,10774.21
2017/10/31,81.5,83,78.9,83,77.1,72.54,56.45,40.93,665,991,1384,12.14,9.66,2.48,93.42%,91.42%,86.75%,85.62%,125.48%,128.85%,10723.15
2017/11/1,84.1,84.1,82,83,80.1,74.63,59.01,41.65,386,872,1097,12.38,10.2,2.17,93.72%,92.19%,86.75%,85.62%,119.72%,124.28%,10720.28
2017/11/2,82.8,82.8,77.2,77.8,80.7,75.58,61.26,42.34,736,843,884,12.09,10.58,1.51,82.77%,89.05%,63.84%,73.37%,111.29%,117.78%,10760.29
2017/11/3,79.8,79.8,75,76.6,80.28,76.69,63.44,43.02,587,630,875,11.58,10.78,0.8,72.99%,83.70%,59.49%,70.82%,101.20%,109.49%,10728.88
2017/11/6,78.5,82,76.1,82,80.48,77.69,65.8,43.81,822,639,838,11.32,10.89,0.43,77.64%,81.68%,70.39%,75.08%,91.81%,100.65%,10735.21
2017/11/7,82.3,83.6,79.2,81,80.08,78.59,68.09,44.55,575,621,806,11.05,10.92,0.13,77.82%,80.39%,66.42%,72.93%,80.46%,90.55%,10743.78
2017/11/8,72.9,72.9,72.9,72.9,78.06,79.08,69.8,45.17,548,654,763,10.05,10.75,-0.7,51.88%,70.89%,42.90%,58.22%,68.44%,79.49%,10750.57
2017/11/9,70,72.5,65.7,68.9,76.28,78.49,71.12,45.71,2922,1091,967,8.84,10.36,-1.53,40.38%,60.72%,35.46%,52.51%,57.30%,68.40%,10734.76
2017/11/10,67.6,73.7,64.6,73.7,75.7,77.99,72.46,46.35,2097,1393,1011,7.98,9.89,-1.91,42.48%,54.64%,48.36%,57.91%,47.09%,57.74%,10709.11
2017/11/13,69,70.3,66.4,66.4,72.58,76.53,73.21,46.87,2122,1653,1146,6.89,9.29,-2.39,31.40%,46.89%,35.43%,48.72%,39.34%,48.54%,10756.87
2017/11/14,67,67.5,62.1,65.2,69.42,74.75,73.65,47.37,1710,1880,1251,5.78,8.59,-2.81,25.74%,39.84%,33.66%,47.37%,34.74%,41.64%,10793.8
2017/11/15,65.2,67.8,63,67,68.24,73.15,73.89,47.93,1292,2029,1341,4.93,7.86,-2.92,24.75%,34.81%,39.14%,49.65%,32.66%,37.15%,10806.36
2017/11/16,67,70.3,65.5,68.8,68.22,72.25,73.92,48.52,1651,1774,1433,4.38,7.16,-2.78,26.89%,32.17%,44.64%,51.92%,32.53%,34.84%,10788.51
2017/11/17,69.8,71,66,67.5,66.98,71.34,74.02,49.1,1653,1686,1539,3.88,6.5,-2.63,26.30%,30.21%,41.40%,50.14%,31.81%,33.32%,10800.77
2017/11/20,67.9,69.1,66.8,67.7,67.24,69.91,73.8,49.65,914,1444,1548,3.42,5.89,-2.47,33.62%,31.35%,42.17%,50.43%,32.69%,33.01%,10786.19
2017/11/21,68.7,74.4,68.7,74.3,69.06,69.24,73.92,50.32,3237,1749,1815,3.43,5.4,-1.96,55.48%,39.39%,62.04%,58.90%,32.57%,32.79%,10840.34
2017/11/22,74.3,74.3,68.7,68.7,69.4,68.82,73.95,50.9,3553,2202,2115,3.18,4.95,-1.78,54.87%,44.55%,45.96%,50.85%,32.38%,32.58%,10818.99
2017/11/23,68.7,71.8,68.3,69,69.44,68.83,73.66,51.48,1623,2196,1985,2.89,4.54,-1.65,55.28%,48.13%,46.85%,51.24%,33.00%,32.79%,10743.27
2017/11/24,70,70.2,65.6,67,69.34,68.16,73.08,52.03,1590,2183,1935,2.48,4.13,-1.65,50.13%,48.80%,41.42%,48.45%,33.54%,33.16%,10732.67
